Período;Código;Nome;Turma;Siape;Horário;Matrícula;Nota;Situação
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148428;-;TRANCADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148428;8.80;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148428;7.10;APROVADO
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148446;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148446;-;EXCLUIDA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148446;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148446;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148446;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148446;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148464;7.50;APROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148464;9.10;APROVADO
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148464;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;04A;1481705-7,2276334-3;7M12  36N12 (22/07/2019 - 07/12/2019);20190148464;9.20;APROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148464;6.70;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148464;7.70;APROVADO
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148482;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148482;-;EXCLUIDA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148482;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;01A;1481705-7,3432383-1;2M12  36T34 (22/07/2019 - 07/12/2019);20190148482;9.70;APROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148482;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148482;8.80;APROVADO
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148508;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148508;-;EXCLUIDA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148508;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;04A;1481705-7,2276334-3;7M12  36N12 (22/07/2019 - 07/12/2019);20190148508;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148508;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148508;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148526;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148526;-;EXCLUIDA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148526;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;04A;2276334-3,1481705-7;7M12  36N12 (22/07/2019 - 07/12/2019);20190148526;2.00;CANCELADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148526;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148526;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148544;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148544;-;EXCLUIDA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148544;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;04A;1481705-7,2276334-3;7M12  36N12 (22/07/2019 - 07/12/2019);20190148544;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148544;5.40;APROVADO POR NOTA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148544;2.10;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148562;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148562;-;EXCLUIDA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148562;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;04A;1481705-7,2276334-3;7M12  36N12 (22/07/2019 - 07/12/2019);20190148562;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148562;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148562;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148580;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148580;-;DESISTENCIA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148580;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;01A;1481705-7,3432383-1;2M12  36T34 (22/07/2019 - 07/12/2019);20190148580;-;DESISTENCIA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148580;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148580;-;DESISTENCIA
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148606;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148606;1.80;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148606;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148606;7.10;APROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148606;-;TRANCADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148606;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148624;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148624;-;DESISTENCIA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148624;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;04A;1481705-7,2276334-3;7M12  36N12 (22/07/2019 - 07/12/2019);20190148624;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148624;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148624;-;EXCLUIDA
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148642;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148642;-;DESISTENCIA
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148642;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148642;-;DESISTENCIA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148642;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148642;-;DESISTENCIA
2;ECT2101;PRÉ-CÁLCULO;1;2646069-8;2356T12 (22/07/2019 - 21/09/2019);20190148660;-;EXCLUIDA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;1;2571630-3;25T34 (22/07/2019 - 07/12/2019);20190148660;0.00;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2103;CÁLCULO I;1;2196137-1;2356T12 (23/09/2019 - 07/12/2019);20190148660;-;EXCLUIDA
2;ECT2104;QUÍMICA GERAL;01A;3432383-1,1481705-7;2M12  36T34 (22/07/2019 - 07/12/2019);20190148660;0.60;REPROVADO POR MÉDIA E POR FALTAS
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;1;1746024-9;4T34 (22/07/2019 - 07/12/2019);20190148660;-;EXCLUIDA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;1;1753033-6;4T12 (22/07/2019 - 07/12/2019);20190148660;6.90;APROVADO POR NOTA
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148689;-;DESISTENCIA
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148689;-;DESISTENCIA
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148689;-;DESISTENCIA
2;ECT2104;QUÍMICA GERAL;04A;2276334-3,1481705-7;7M12  36N12 (22/07/2019 - 07/12/2019);20190148689;-;EXCLUIDA
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148689;-;DESISTENCIA
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148689;-;DESISTENCIA
2;ECT2101;PRÉ-CÁLCULO;4;2998751-4;2356N34 (22/07/2019 - 21/09/2019);20190148704;2.80;REPROVADO
2;ECT2102;VETORES E GEOMETRIA ANALÍTICA;4;1674079-5;25N12 (22/07/2019 - 07/12/2019);20190148704;3.40;REPROVADO
2;ECT2103;CÁLCULO I;4;6350665-5;2356N34 (23/09/2019 - 07/12/2019);20190148704;6.70;APROVADO POR NOTA
2;ECT2104;QUÍMICA GERAL;04A;2276334-3,1481705-7;7M12  36N12 (22/07/2019 - 07/12/2019);20190148704;7.90;APROVADO
2;ECT2105;PRÁTICAS DE LEITURA E ESCRITA I;4;3891450-8;4N34 (22/07/2019 - 07/12/2019);20190148704;7.50;APROVADO
2;ECT2106;CIÊNCIA, TECNOLOGIA E SOCIEDADE;4;1753033-6;4N12 (22/07/2019 - 07/12/2019);20190148704;8.80;APROVADO
